,,_2,df,CM,Æ_2,Ædf,CFI,TLI,RMSEA,SRMR
,Immediate word recall,,,,,,,,,
1," Autoregressive, univariate",3824.15,10,-,-,-,0.67,0.51,0.18,0.24
2, LGM,147.02,16,-,-,-,0.99,0.99,0.03,0.01
3," ALT, full model",79.04,11,-,-,-,0.99,0.99,0.02,0.01
4,"ALT, nested LGM",147.02,16,3,68.23,5,0.99,0.99,0.03,0.01
5," ALT, no slope variance",181.84,13,3,97.50,2,0.99,0.98,0.03,0.02
6," ALT, no slope",805.23,14,3,658.62,3,0.93,0.93,0.07,0.05
7," ALT, fixed regressions",146.42,15.00,3,67.45,4,0.99,0.99,0.03,0.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,